Unnamed: 0,recording_id,intervals
0,FH2467_20220304_063311,"[[1646375672.9, 1646375786.9], [1646382130.845, 1646382801.844]]"
0,FH2467_20220308_140750,"[[1646748564.799, 1646748673.799]]"
0,FH2467_20220310_064725,"[[1646894939.019, 1646894951.019], [1646895059.019, 1646895309.019]]"
0,FH2467_20220310_122341,"[[1646915069.056, 1646915368.055]]"
0,FH2467_20220314_135430,"[[1647268124.963, 1647268379.962]]"
0,FH2467_20220317_083832,"[[1647506414.733, 1647506715.733]]"
0,FH2467_20220317_104420,"[[1647514489.2089999, 1647514576.208], [1647516986.156, 1647517197.156]]"
0,FH2467_20220318_063500,"[[1647585479.848, 1647585550.848], [1647585771.848, 1647587111.8470001], [1647587112.8969998, 1647587144.8969998]]"
0,FM1073_20220301_134126,"[[1646142203.056, 1646142360.055], [1646143605.0540001, 1646143802.0540001]]"
0,FM1073_20220303_163059,"[[1646325067.0979998, 1646325935.0979998]]"
0,FM1073_20220304_070231,"[[1646377359.0649998, 1646378649.064]]"
0,FM1073_20220228_185128,"[[1646074338.0809999, 1646074395.0809999]]"
0,FM1073_20220303_171132,"[[1646327500.032, 1646328306.0310001]]"
0,FM1073_20220304_101428,"[[1646388877.04, 1646389719.039]]"
0,FM1073_20220303_104539,"[[1646304347.1009998, 1646304685.1], [1646304883.1, 1646305086.1]]"
0,FH2467_20220321_095650,"[[1647856971.077, 1647858034.076], [1647859563.024, 1647859658.024]]"
0,FH2467_20220323_085347,"[[1648025889.243, 1648026174.243], [1648028563.23, 1648028823.2289999]]"
0,FM1073_20220316_152544,"[[1647444528.127, 1647445377.1260002], [1647445427.1260002, 1647446150.125], [1647446151.184, 1647446823.183], [1647447731.1820002, 1647447950.1820002]]"
0,FM1073_20220317_091325,"[[1647508412.094, 1647509120.094]]"
0,FM1073_20220321_075630,"[[1647851818.0870001, 1647852308.0870001]]"
0,FM1073_20220322_101428,"[[1647946411.1, 1647946492.1]]"
0,FH2369_20220322_111446,"[[1647947943.723, 1647948221.723], [1647950079.6179998, 1647950146.6179998]]"
0,FH2369_20220323_110437,"[[1648037112.916, 1648037152.916]]"
0,FH2369_20220324_160143,"[[1648138998.076, 1648139166.076], [1648140274.076, 1648140450.076]]"
0,FH2369_20220325_164623,"[[1648226794.151, 1648228039.149], [1648228078.149, 1648228593.149], [1648228594.148, 1648229691.147]]"
0,FH2467_20220331_100703,"[[1648723085.937, 1648723303.937], [1648724234.936, 1648724296.936], [1648724441.936, 1648724562.936]]"
0,FH2467_20220331_154519,"[[1648743906.557, 1648743977.557]]"
0,FH2369_20220404_133935,"[[1649081838.2129998, 1649081917.2129998]]"
0,FH2369_20220406_035130,"[[1649217309.54, 1649218008.539], [1649219033.4689999, 1649220000.468]]"
0,FH2369_20220406_045643,"[[1649221964.1020002, 1649222160.1020002]]"
0,FH2467_20220408_120102,"[[1649419274.163, 1649419725.163], [1649419772.163, 1649419924.163], [1649420149.162, 1649420178.162], [1649421042.162, 1649421053.162]]"
0,FH2467_20220406_064536,"[[1649227763.492, 1649228008.492], [1649228056.492, 1649228224.4910002]]"
0,FH2467_20220406_104703,"[[1649242432.267, 1649243138.2659998], [1649243156.2659998, 1649243281.2659998], [1649243321.2659998, 1649243594.2659998]]"
0,FH2467_20220411_154036,"[[1649691648.957, 1649691728.957], [1649691839.957, 1649691988.957]]"
0,FM1073_20220328_123223,"[[1648470830.0579998, 1648471180.057]]"
0,FM1073_20220330_073420,"[[1648625876.121, 1648626484.12]]"
0,FM1073_20220330_143228,"[[1648652866.108, 1648653387.107]]"
0,FM1073_20220330_173417,"[[1648661798.073, 1648662017.073], [1648662099.072, 1648663420.071], [1648663893.048, 1648663956.048]]"
0,FM1073_20220331_121825,"[[1648729591.1169999, 1648730109.1169999]]"
0,FM1073_20220331_172235,"[[1648747489.0249999, 1648747641.024], [1648748355.024, 1648748428.024]]"
0,FM1073_20220404_115742,"[[1649074070.097, 1649074086.097]]"
0,FM1073_20220404_135234,"[[1649083156.095, 1649083182.095], [1649083663.095, 1649083748.095]]"
0,FM1073_20220405_035923,"[[1649131731.071, 1649132969.0700002]]"
0,FH2369_20220314_163403,"[[1647276691.412, 1647276697.412], [1647277562.411, 1647277651.411], [1647277703.411, 1647278073.411], [1647278086.411, 1647278490.4099998], [1647278699.412, 1647278869.412], [1647278873.412, 1647279180.411], [1647279228.411, 1647279459.411]]"
0,FH2369_20220316_095040,"[[1647425160.32, 1647426050.32], [1647426053.3209999, 1647426967.3209999]]"
0,FH2369_20220316_071911,"[[1647416199.838, 1647416560.838]]"
0,FH2467_20220421_072625,"[[1650526611.755, 1650527049.755], [1650529508.736, 1650529596.7350001]]"
0,FM1073_20220411_052255,"[[1649655312.1169999, 1649655624.1169999], [1649655698.1169999, 1649656381.116], [1649656686.073, 1649656770.073]]"
0,FH2467_20220428_043542,"[[1651120729.233, 1651121240.232], [1651121408.232, 1651121471.232]]"
0,FH2467_20220429_045516,"[[1651208208.8620002, 1651208423.8620002], [1651213358.856, 1651213439.856], [1651216119.8739998, 1651216152.8739998], [1651216846.8739998, 1651216897.8739998], [1651221450.824, 1651221525.823]]"
0,FM1073_20220419_190250,"[[1650395736.023, 1650396257.022]]"
0,FM1073_20220422_154822,"[[1650644949.0310001, 1650645118.0300002]]"
0,FM1073_20220427_061201,"[[1651039958.1369998, 1651040664.136], [1651040692.136, 1651040849.136]]"
0,FM1073_20220428_042343,"[[1651119877.0830002, 1651120002.0830002]]"
0,UDM523_20220324_130943,"[[1648127391.312, 1648127435.312], [1648128417.311, 1648129190.311], [1648130219.309, 1648130334.309]]"
0,FM1073_20220503_072645,"[[1651564253.053, 1651564507.053]]"
0,FM1073_20220504_094521,"[[1651660654.0860002, 1651661127.0860002]]"
0,UDM523_20220330_034120,"[[1648612176.7340002, 1648613487.733]]"
0,UDM523_20220330_232039,"[[1648682873.165, 1648684247.163], [1648684249.1820002, 1648684978.181]]"
0,FH2467_20220505_114243,"[[1651751140.869, 1651752773.868]]"
0,FH2467_20220505_093314,"[[1651743984.2940001, 1651745005.293], [1651745006.278, 1651746247.276], [1651746289.276, 1651746805.276], [1651746806.227, 1651747334.227]]"
0,FM1073_20220511_091426,"[[1652260473.094, 1652261374.093]]"
